Var.Lab,Rot.Padrão,Novo Rótulo,Coluna temporária,Nome Banco,Tipo de Dado,2013,2014,2015,2016,2017
CEBMA020N0,CO_MUNICIPIO_NASC,Código do município de nascimento,0,cod_municipio_nasc,INT,FK_COD_MUNICIPIO_DNASC,FK_COD_MUNICIPIO_DNASC,CO_MUNICIPIO_NASC,CO_MUNICIPIO_NASC,CO_MUNICIPIO_NASC
CEBMA021N0,CO_UF_END,Código da UF de residência,0,cod_estado_atual,TINYINT,FK_COD_ESTADO_END,FK_COD_ESTADO_END,CO_UF_END,CO_UF_END,CO_UF_END
CEBMA022N0,SIGLA_END,Sigla UF de residência,0,,,SIGLA_END,,,,
CEBMA023N0,CO_MUNICIPIO_END,Código do município de residência,0,cod_municipio_atual,INT,FK_COD_MUNICIPIO_END,FK_COD_MUNICIPIO_END,CO_MUNICIPIO_END,CO_MUNICIPIO_END,CO_MUNICIPIO_END
CEBMA024N0,TP_ZONA_RESIDENCIAL,Localização/Zona de residência,0,zona_residencial,TINYINT,ID_ZONA_RESIDENCIAL,ID_ZONA_RESIDENCIAL,TP_ZONA_RESIDENCIAL,TP_ZONA_RESIDENCIAL,TP_ZONA_RESIDENCIAL
CEBMA025N0,TP_OUTRO_LOCAL_AULA,,0,aula_outro_local,TINYINT,ID_TIPO_ATENDIMENTO,ID_TIPO_ATENDIMENTO,TP_OUTRO_LOCAL_AULA,TP_OUTRO_LOCAL_AULA,TP_OUTRO_LOCAL_AULA
CEBMA026N0,IN_TRANSPORTE_PUBLICO,Transporte escolar público,0,transporte_escolar_publico,BOOLEAN,ID_N_T_E_P,ID_N_T_E_P,IN_TRANSPORTE_PUBLICO,IN_TRANSPORTE_PUBLICO,IN_TRANSPORTE_PUBLICO
CEBMA027N0,TP_RESPONSAVEL_TRANSPORTE,Poder público responsável pelo transporte escolar,0,responsavel_transp,TINYINT,ID_RESPONSAVEL_TRANSPORTE,ID_RESPONSAVEL_TRANSPORTE,TP_RESPONSAVEL_TRANSPORTE,TP_RESPONSAVEL_TRANSPORTE,TP_RESPONSAVEL_TRANSPORTE
CEBMA028N0,IN_TRANSP_VANS_KOMBI,Tipo de veículo utilizado no transporte escolar - Rodoviário (Vans/VW Kombi),0,transporte_vans_kombi,BOOLEAN,ID_TRANSP_VANS_KOMBI,ID_TRANSP_VANS_KOMBI,IN_TRANSP_VANS_KOMBI,IN_TRANSP_VANS_KOMBI,IN_TRANSP_VANS_KOMBI
CEBMA029N0,IN_TRANSP_MICRO_ONIBUS,Tipo de veículo utilizado no transporte escolar - Rodoviário (Micro-ônibus),0,transporte_micro_onibus,BOOLEAN,ID_TRANSP_MICRO_ONIBUS,ID_TRANSP_MICRO_ONIBUS,IN_TRANSP_MICRO_ONIBUS,IN_TRANSP_MICRO_ONIBUS,IN_TRANSP_MICRO_ONIBUS
CEBMA030N0,IN_TRANSP_ONIBUS,Tipo de veículo utilizado no transporte escolar - Rodoviário (Ônibus),0,transporte_onibus,BOOLEAN,ID_TRANSP_ONIBUS,ID_TRANSP_ONIBUS,IN_TRANSP_ONIBUS,IN_TRANSP_ONIBUS,IN_TRANSP_ONIBUS
CEBMA031N0,IN_TRANSP_BICICLETA,Tipo de veículo utilizado no transporte escolar - Rodoviário (Bicicleta),0,transporte_bicicleta,BOOLEAN,ID_TRANSP_BICICLETA,ID_TRANSP_BICICLETA,IN_TRANSP_BICICLETA,IN_TRANSP_BICICLETA,IN_TRANSP_BICICLETA
CEBMA032N0,IN_TRANSP_TR_ANIMAL,Tipo de veículo utilizado no transporte escolar - Rodoviário (Tração Animal),0,transporte_animal,BOOLEAN,ID_TRANSP_TR_ANIMAL,ID_TRANSP_TR_ANIMAL,IN_TRANSP_TR_ANIMAL,IN_TRANSP_TR_ANIMAL,IN_TRANSP_TR_ANIMAL
CEBMA033N0,IN_TRANSP_OUTRO_VEICULO,Tipo de veículo utilizado no transporte escolar - Rodoviário (Outro tipo de veículo rodoviário),0,transporte_outro,BOOLEAN,ID_TRANSP_OUTRO_VEICULO,ID_TRANSP_OUTRO_VEICULO,IN_TRANSP_OUTRO_VEICULO,IN_TRANSP_OUTRO_VEICULO,IN_TRANSP_OUTRO_VEICULO
CEBMA034N0,IN_TRANSP_EMBAR_ATE5,Tipo de veículo utilizado no transporte escolar Aquaviário/Embarcação (Capacidade de até 5 alunos),0,transporte_embar_0_5,BOOLEAN,ID_TRANSP_EMBAR_ATE5,ID_TRANSP_EMBAR_ATE5,IN_TRANSP_EMBAR_ATE5,IN_TRANSP_EMBAR_ATE5,IN_TRANSP_EMBAR_ATE5
CEBMA035N0,IN_TRANSP_EMBAR_5A15,Tipo de veículo utilizado no transporte escolar Aquaviário/Embarcação (Capacidade de 5 a 15 alunos),0,transporte_embar_5_15,BOOLEAN,ID_TRANSP_EMBAR_5A15,ID_TRANSP_EMBAR_5A15,IN_TRANSP_EMBAR_5A15,IN_TRANSP_EMBAR_5A15,IN_TRANSP_EMBAR_5A15
CEBMA036N0,IN_TRANSP_EMBAR_15A35,Tipo de veículo utilizado no transporte escolar Aquaviário/Embarcação (Capacidade de 15 a 35 alunos),0,transporte_embar_15_35,BOOLEAN,ID_TRANSP_EMBAR_15A35,ID_TRANSP_EMBAR_15A35,IN_TRANSP_EMBAR_15A35,IN_TRANSP_EMBAR_15A35,IN_TRANSP_EMBAR_15A35
CEBMA037N0,IN_TRANSP_EMBAR_35,Tipo de veículo utilizado no transporte escolar Aquaviário/Embarcação (Capacidade acima de 35 alunos),0,transporte_embar_35,BOOLEAN,ID_TRANSP_EMBAR_35,ID_TRANSP_EMBAR_35,IN_TRANSP_EMBAR_35,IN_TRANSP_EMBAR_35,IN_TRANSP_EMBAR_35
CEBMA038N0,IN_TRANSP_TREM_METRO,Tipo de veículo utilizado no transporte escolar Ferroviário (Trem/Metrô),0,transporte_trem_metro,BOOLEAN,ID_TRANSP_TREM_METRO,ID_TRANSP_TREM_METRO,IN_TRANSP_TREM_METRO,IN_TRANSP_TREM_METRO,IN_TRANSP_TREM_METRO
CEBMA039N0,IN_NECESSIDADE_ESPECIAL,"Aluno com deficiência, transtorno global do desenvolvimento ou altas habilidades/ superdotação",0,possui_necessidade_especial,BOOLEAN,ID_POSSUI_NEC_ESPECIAL,ID_POSSUI_NEC_ESPECIAL,IN_NECESSIDADE_ESPECIAL,IN_NECESSIDADE_ESPECIAL,IN_NECESSIDADE_ESPECIAL
CEBMA040N0,IN_CEGUEIRA,"Tipo de deficiência, transtorno global do desenvolvimento ou altas habilidades/ superdotação (cegueira)",0,cegueira,BOOLEAN,ID_TIPO_NEC_ESP_CEGUEIRA,ID_TIPO_NEC_ESP_CEGUEIRA,IN_CEGUEIRA,IN_CEGUEIRA,IN_CEGUEIRA
CEBMA041N0,IN_BAIXA_VISAO,"Tipo de deficiência, transtorno global do desenvolvimento ou altas habilidades/ superdotação (baixa visão)",0,baixa_visao,BOOLEAN,ID_TIPO_NEC_ESP_BAIXA_VISAO,ID_TIPO_NEC_ESP_BAIXA_VISAO,IN_BAIXA_VISAO,IN_BAIXA_VISAO,IN_BAIXA_VISAO
CEBMA042N0,IN_SURDEZ,"Tipo de deficiência, transtorno global do desenvolvimento ou altas habilidades/ superdotação (surdez)",0,surdez,BOOLEAN,ID_TIPO_NEC_ESP_SURDEZ,ID_TIPO_NEC_ESP_SURDEZ,IN_SURDEZ,IN_SURDEZ,IN_SURDEZ
CEBMA043N0,IN_DEF_AUDITIVA,"Tipo de deficiência, transtorno global do desenvolvimento ou altas habilidades/ superdotação (deficiência auditiva)",0,deficiencia_auditiva,BOOLEAN,ID_TIPO_NEC_ESP_DEF_AUDITIVA,ID_TIPO_NEC_ESP_DEF_AUDITIVA,IN_DEF_AUDITIVA,IN_DEF_AUDITIVA,IN_DEF_AUDITIVA
CEBMA044N0,IN_SURDOCEGUEIRA,"Tipo de deficiência, transtorno global do desenvolvimento ou altas habilidades/ superdotação (surdocegueira)",0,surdo_cegueira,BOOLEAN,ID_TIPO_NEC_ESP_SURDO_CEGUEIRA,ID_TIPO_NEC_ESP_SURDO_CEGUEIRA,IN_SURDOCEGUEIRA,IN_SURDOCEGUEIRA,IN_SURDOCEGUEIRA
CEBMA045N0,IN_DEF_FISICA,"Tipo de deficiência, transtorno global do desenvolvimento ou altas habilidades/ superdotação (deficiência física)",0,deficiencia_fisica,BOOLEAN,ID_TIPO_NEC_ESP_DEF_FISICA,ID_TIPO_NEC_ESP_DEF_FISICA,IN_DEF_FISICA,IN_DEF_FISICA,IN_DEF_FISICA
CEBMA046N0,IN_DEF_INTELECTUAL,"Tipo de deficiência, transtorno global do desenvolvimento ou altas habilidades/ superdotação (deficiência intelectual)",0,deficiencia_intelectual,BOOLEAN,ID_TIPO_NEC_ESP_DEF_MENTAL,ID_TIPO_NEC_ESP_DEF_MENTAL,IN_DEF_INTELECTUAL,IN_DEF_INTELECTUAL,IN_DEF_INTELECTUAL
CEBMA049N0,IN_DEF_MULTIPLA,"Tipo de deficiência, transtorno global do desenvolvimento ou altas habilidades/ superdotação (deficiência múltipla)",0,deficiencia_multiplas,BOOLEAN,ID_TIPO_NEC_ESP_DEF_MULTIPLAS,ID_TIPO_NEC_ESP_DEF_MULTIPLAS,IN_DEF_MULTIPLA,IN_DEF_MULTIPLA,IN_DEF_MULTIPLA
CEBMA050N0,IN_AUTISMO,"Tipo de deficiência, transtorno global do desenvolvimento ou altas habilidades/ superdotação (Autismo infantil)",0,autismo,BOOLEAN,ID_TIPO_NEC_ESP_AUTISMO,ID_TIPO_NEC_ESP_AUTISMO,IN_AUTISMO,IN_AUTISMO,IN_AUTISMO
CEBMA051N0,IN_SINDROME_ASPERGER,"Tipo de deficiência, transtorno global do desenvolvimento ou altas habilidades/ superdotação (Síndrome de Asperger)",0,sindrome_asperger,BOOLEAN,ID_TIPO_NEC_ESP_ASPERGER,ID_TIPO_NEC_ESP_ASPERGER,IN_SINDROME_ASPERGER,IN_SINDROME_ASPERGER,IN_SINDROME_ASPERGER
CEBMA052N0,IN_SINDROME_RETT,"Tipo de deficiência, transtorno global do desenvolvimento ou altas habilidades/ superdotação (Síndrome de Rett)",0,sindrome_rett,BOOLEAN,ID_TIPO_NEC_ESP_RETT,ID_TIPO_NEC_ESP_RETT,IN_SINDROME_RETT,IN_SINDROME_RETT,IN_SINDROME_RETT
CEBMA053N0,IN_TRANSTORNO_DI,"Tipo de deficiência, transtorno global do desenvolvimento ou altas habilidades/ superdotação (Transtorno Desintegrativo da Infância)",0,transtorno_desintegrativo_da_infancia,BOOLEAN,ID_TIPO_NEC_ESP_TDI,ID_TIPO_NEC_ESP_TDI,IN_TRANSTORNO_DI,IN_TRANSTORNO_DI,IN_TRANSTORNO_DI
CEBMA054N0,IN_SUPERDOTACAO,"Tipo de deficiência, transtorno global do desenvolvimento ou altas habilidades/ superdotação (altas habilidades/ superdotação)",0,superdotado,BOOLEAN,ID_TIPO_NEC_ESP_SUPERDOTACAO,ID_TIPO_NEC_ESP_SUPERDOTACAO,IN_SUPERDOTACAO,IN_SUPERDOTACAO,IN_SUPERDOTACAO
CEBMA056N0,IN_RECURSO_LEDOR,"Recursos necessários para a participação do aluno em avaliações do Inep (Prova Brasil, Saeb, outros) - Auxílio Ledor",0,rec_esp_auxilio_ledor,BOOLEAN,ID_TIPO_REC_ESP_LEDOR,ID_TIPO_REC_ESP_LEDOR,IN_RECURSO_LEDOR,IN_RECURSO_LEDOR,IN_RECURSO_LEDOR
CEBMA057N0,IN_RECURSO_TRANSCRICAO,"Recursos necessários para a participação do aluno em avaliações do Inep (Prova Brasil, Saeb, outros) - Auxílio-Transcrição",0,rec_esp_auxilio_transcricao,BOOLEAN,ID_TIPO_REC_ESP_TRANSCRICAO,ID_TIPO_REC_ESP_TRANSCRICAO,IN_RECURSO_TRANSCRICAO,IN_RECURSO_TRANSCRICAO,IN_RECURSO_TRANSCRICAO
CEBMA058N0,IN_RECURSO_INTERPRETE,"Recursos necessários para a participação do aluno em avaliações do Inep (Prova Brasil, Saeb, outros) - Guia-Intérprete",0,rec_esp_interprete,BOOLEAN,ID_TIPO_REC_ESP_INTERPRETE,ID_TIPO_REC_ESP_INTERPRETE,IN_RECURSO_INTERPRETE,IN_RECURSO_INTERPRETE,IN_RECURSO_INTERPRETE
CEBMA059N0,IN_RECURSO_LIBRAS,"Recursos necessários para a participação do aluno em avaliações do Inep (Prova Brasil, Saeb, outros) - Intérprete de Libras",0,rec_esp_libras,BOOLEAN,ID_TIPO_REC_ESP_LIBRAS,ID_TIPO_REC_ESP_LIBRAS,IN_RECURSO_LIBRAS,IN_RECURSO_LIBRAS,IN_RECURSO_LIBRAS
CEBMA060N0,IN_RECURSO_LABIAL,"Recursos necessários para a participação do aluno em avaliações do Inep (Prova Brasil, Saeb, outros) - Leitura Labial",0,rec_esp_leitura_labial,BOOLEAN,ID_TIPO_REC_ESP_LABIAL,ID_TIPO_REC_ESP_LABIAL,IN_RECURSO_LABIAL,IN_RECURSO_LABIAL,IN_RECURSO_LABIAL
CEBMA061N0,IN_RECURSO_BRAILLE,"Recursos necessários para a participação do aluno em avaliações do Inep (Prova Brasil, Saeb, outros) - Prova em Braille",0,rec_esp_prova_braille,BOOLEAN,ID_TIPO_REC_ESP_BRAILLE,ID_TIPO_REC_ESP_BRAILLE,IN_RECURSO_BRAILLE,IN_RECURSO_BRAILLE,IN_RECURSO_BRAILLE
CEBMA062N0,IN_RECURSO_AMPLIADA_16,"Recursos necessários para a participação do aluno em avaliações do Inep (Prova Brasil, Saeb, outros) - Prova Ampliada (Fonte tamanho 16)",0,rec_esp_prova_fonte_16,BOOLEAN,ID_TIPO_REC_ESP_AMPLIADA_16,ID_TIPO_REC_ESP_AMPLIADA_16,IN_RECURSO_AMPLIADA_16,IN_RECURSO_AMPLIADA_16,IN_RECURSO_AMPLIADA_16
CEBMA063N0,IN_RECURSO_AMPLIADA_20,"Recursos necessários para a participação do aluno em avaliações do Inep (Prova Brasil, Saeb, outros) - Prova Ampliada (Fonte tamanho 20)",0,rec_esp_prova_fonte_20,BOOLEAN,ID_TIPO_REC_ESP_AMPLIADA_20,ID_TIPO_REC_ESP_AMPLIADA_20,IN_RECURSO_AMPLIADA_20,IN_RECURSO_AMPLIADA_20,IN_RECURSO_AMPLIADA_20
CEBMA064N0,IN_RECURSO_AMPLIADA_24,"Recursos necessários para a participação do aluno em avaliações do Inep (Prova Brasil, Saeb, outros) - Prova Ampliada (Fonte tamanho 24)",0,rec_esp_prova_fonte_24,BOOLEAN,ID_TIPO_REC_ESP_AMPLIADA_24,ID_TIPO_REC_ESP_AMPLIADA_24,IN_RECURSO_AMPLIADA_24,IN_RECURSO_AMPLIADA_24,IN_RECURSO_AMPLIADA_24
CEBMA065N0,IN_RECURSO_NENHUM,"Recursos necessários para a participação do aluno em avaliações do Inep (Prova Brasil, Saeb, outros) - Nenhum",0,rec_esp_nenhum,BOOLEAN,ID_TIPO_REC_ESP_NENHUM,ID_TIPO_REC_ESP_NENHUM,IN_RECURSO_NENHUM,IN_RECURSO_NENHUM,IN_RECURSO_NENHUM
CEBMA066N0,TP_INGRESSO_FEDERAIS,Forma de ingresso do aluno (apenas alunos de escolas federais),0,forma_ingresso,TINYINT,ID_INGRESSO_FEDERAIS,ID_INGRESSO_FEDERAIS,TP_INGRESSO_FEDERAIS,TP_INGRESSO_FEDERAIS,TP_INGRESSO_FEDERAIS
CEBMA067N0,FK_COD_MOD_ENSINO,Modalidade de ensino da matrícula,0,modalidade_ensino,TINYINT,FK_COD_MOD_ENSINO,FK_COD_MOD_ENSINO,,,
CEBTU009N0,TP_ETAPA_ENSINO,Etapa de ensino da matrícula,0,etapa_ensino_id,TINYINT,FK_COD_ETAPA_ENSINO,FK_COD_ETAPA_ENSINO,TP_ETAPA_ENSINO,TP_ETAPA_ENSINO,TP_ETAPA_ENSINO
CEBMA069N0,TP_ETAPA_AGREGADA,Etapa de ensino agregada,0,etapa_agregada,TINYINT,,ID_ETAPA_AGREGADA_MAT,TP_ETAPA_AGREGADA,,
CEBTU002N0,ID_TURMA,Código único da turma,0,turma_id,INT,PK_COD_TURMA,PK_COD_TURMA,ID_TURMA,ID_TURMA,ID_TURMA
CEBTU010N0,CO_CURSO_EDUC_PROFISSIONAL,Curso da Educação Profissional Técnica,0,curso_prof,INT,FK_COD_CURSO_PROF,FK_COD_CURSO_PROF,CO_CURSO_EDUC_PROFISSIONAL,CO_CURSO_EDUC_PROFISSIONAL,CO_CURSO_EDUC_PROFISSIONAL
CEBMA070N0,TP_UNIFICADA,"Unificada, multietapa, multi ou correção de fluxo",0,cod_unificada,TINYINT,COD_UNIFICADA,COD_UNIFICADA,TP_UNIFICADA,TP_UNIFICADA,TP_UNIFICADA
CEBTU011N0,TP_TIPO_TURMA,Tipo de atendimento,0,tipo,INT,FK_COD_TIPO_TURMA,FK_COD_TIPO_TURMA,TP_TIPO_TURMA,TP_TIPO_TURMA,TP_TIPO_TURMA
CEBES002N0,CO_ENTIDADE,Código da escola,0,escola_id,INT,PK_COD_ENTIDADE,PK_COD_ENTIDADE,CO_ENTIDADE,CO_ENTIDADE,CO_ENTIDADE
COD_UF,CO_UF,Código da UF,0,estado_id,INT,FK_COD_ESTADO_ESCOLA,FK_COD_ESTADO_ESCOLA,CO_UF,CO_UF,CO_UF
COD_MUN,CO_MUNICIPIO,Código do município,0,municipio_id,INT,COD_MUNICIPIO_ESCOLA,COD_MUNICIPIO_ESCOLA,CO_MUNICIPIO,CO_MUNICIPIO,CO_MUNICIPIO
COD_DISTRITO,CO_DISTRITO,Código completo do distrito da escola,0,cod_distrito,INT,FK_CODIGO_DISTRITO,FK_CODIGO_DISTRITO,CO_DISTRITO,CO_DISTRITO,CO_DISTRITO
CEBES014N0,TP_LOCALIZACAO,Área da Localidade,0,localizacao_id,TINYINT,ID_LOCALIZACAO_ESC,ID_LOCALIZACAO_ESC,TP_LOCALIZACAO,TP_LOCALIZACAO,TP_LOCALIZACAO
CEBES013N0,TP_DEPENDENCIA,Dependência Administrativa,0,dependencia_adm_id,TINYINT,ID_DEPENDENCIA_ADM_ESC,ID_DEPENDENCIA_ADM_ESC,TP_DEPENDENCIA,TP_DEPENDENCIA,TP_DEPENDENCIA
CEBES015N0,TP_CATEGORIA_ESCOLA_PRIVADA,Categoria da escola privada,0,desc_categoria_escola_privada,TINYINT,DESC_CATA_ESCOLA_PRIV,DESC_CATA_ESCOLA_PRIV,TP_CATEGORIA_ESCOLA_PRIVADA,TP_CATEGORIA_ESCOLA_PRIVADA,TP_CATEGORIA_ESCOLA_PRIVADA
CEBES016N0,IN_CONVENIADA_PP,Conveniada com o poder público,0,conveniada_pp,BOOLEAN,ID_CONVENIADA_PP_ESC,ID_CONVENIADA_PP_ESC,IN_CONVENIADA_PP,IN_CONVENIADA_PP,IN_CONVENIADA_PP
CEBES017N0,TP_CONVENIO_PODER_PUBLICO,Dependência do convênio com o poder público,0,tipo_convenio_pp,TINYINT,"~CASE WHEN ""ID_TIPO_CONVENIO_PODER_PUBLICO""=1 THEN 2 WHEN ""ID_TIPO_CONVENIO_PODER_PUBLICO""=2 THEN 1 WHEN ""ID_TIPO_CONVENIO_PODER_PUBLICO""=3 THEN 3 END","~CASE WHEN ""ID_TIPO_CONVENIO_PODER_PUBLICO""=1 THEN 2 WHEN ""ID_TIPO_CONVENIO_PODER_PUBLICO""=2 THEN 1 WHEN ""ID_TIPO_CONVENIO_PODER_PUBLICO""=3 THEN 3 END",TP_CONVENIO_PODER_PUBLICO,TP_CONVENIO_PODER_PUBLICO,TP_CONVENIO_PODER_PUBLICO
CEBES018N0,IN_MANT_ESCOLA_PRIVADA_EMP,"Mantenedora da escola privada - Empresa, grupo empresarial do setor privado ou pessoa física",0,mant_escola_privada_emp,BOOLEAN,ID_MANT_ESCOLA_PRIVADA_EMP,ID_MANT_ESCOLA_PRIVADA_EMP,IN_MANT_ESCOLA_PRIVADA_EMP,IN_MANT_ESCOLA_PRIVADA_EMP,IN_MANT_ESCOLA_PRIVADA_EMP
CEBES019N0,IN_MANT_ESCOLA_PRIVADA_ONG,Mantenedora da escola privada - Organização Não Governamental (ONG) - internacional ou nacional. Organização da Sociedade Civil de Interesse Público (Oscip),0,mant_escola_privada_ong,BOOLEAN,ID_MANT_ESCOLA_PRIVADA_ONG,ID_MANT_ESCOLA_PRIVADA_ONG,IN_MANT_ESCOLA_PRIVADA_ONG,IN_MANT_ESCOLA_PRIVADA_ONG,IN_MANT_ESCOLA_PRIVADA_ONG
CEBES020N0,IN_MANT_ESCOLA_PRIVADA_SIND,"Mantenedora da escola privada - Sindicatos de trabalhadores ou patronais, associações e cooperativas",0,mant_escola_privada_sind,BOOLEAN,ID_MANT_ESCOLA_PRIVADA_SIND,ID_MANT_ESCOLA_PRIVADA_SIND,IN_MANT_ESCOLA_PRIVADA_SIND,IN_MANT_ESCOLA_PRIVADA_SIND,IN_MANT_ESCOLA_PRIVADA_SIND
CEBES022N0,IN_MANT_ESCOLA_PRIVADA_SIST_S,"Mantenedora da escola privada - Sistema S (Sesi, Senai, Sesc, outros)",0,mant_escola_privada_sist_s,BOOLEAN,ID_MANT_ESCOLA_PRIVADA_SIST_S,ID_MANT_ESCOLA_PRIVADA_SIST_S,IN_MANT_ESCOLA_PRIVADA_SIST_S,IN_MANT_ESCOLA_PRIVADA_SIST_S,IN_MANT_ESCOLA_PRIVADA_SIST_S
CEBES023N0,IN_MANT_ESCOLA_PRIVADA_S_FINS,Mantenedora da escola privada - Instituições sem fins lucrativos,0,mant_escola_privada_s_fins,BOOLEAN,ID_MANT_ESCOLA_PRIVADA_S_FINS,ID_MANT_ESCOLA_PRIVADA_S_FINS,IN_MANT_ESCOLA_PRIVADA_S_FINS,IN_MANT_ESCOLA_PRIVADA_S_FINS,IN_MANT_ESCOLA_PRIVADA_S_FINS
CEBES026N0,TP_REGULAMENTACAO,"Regulamentação/Autorização no Conselho ou Órgão Municipal, Estadual ou Federal de Educação",0,documento_regulamentacao,TINYINT,ID_DOCUMENTO_REGULAMENTACAO,ID_DOCUMENTO_REGULAMENTACAO,TP_REGULAMENTACAO,TP_REGULAMENTACAO,TP_REGULAMENTACAO
CEBES139N0,TP_LOCALIZACAO_DIFERENCIADA,Localização diferenciada da escola,0,localizacao_diferenciada,TINYINT,ID_LOCALIZACAO_DIFERENCIADA,ID_LOCALIZACAO_DIFERENCIADA,TP_LOCALIZACAO_DIFERENCIADA,TP_LOCALIZACAO_DIFERENCIADA,TP_LOCALIZACAO_DIFERENCIADA
CEBES142N0,IN_EDUCACAO_INDIGENA,Educação Indígena,0,educacao_indigena,BOOLEAN,ID_EDUCACAO_INDIGENA,ID_EDUCACAO_INDIGENA,IN_EDUCACAO_INDIGENA,IN_EDUCACAO_INDIGENA,IN_EDUCACAO_INDIGENA
COD_MESO,CO_MESORREGIAO,Código da mesorregião,0,cod_mesorregiao,INT,,,CO_MESORREGIAO,CO_MESORREGIAO,CO_MESORREGIAO
COD_MICRO,CO_MICRORREGIAO,Código da microrregião,0,cod_microregiao,INT,,,CO_MICRORREGIAO,CO_MICRORREGIAO,CO_MICRORREGIAO
